ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
OJLISTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ISLJZOT,0,,,
IJSTZOL,0,,,
TJOZSIL,0,,,
JIZSTLO,0,,,
ISLJZTO,0,,,
ZISTLJO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IJSTOZL,0,,,
JOLISTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TJZOSIL,0,,,
JZISTLO,0,,,
ISLZJTO,0,,,
IJSOTZL,0,,,
ZITSLJO,0,,,
TJZSOIL,0,,,
JZISTOL,0,,,
JLOISTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IJOSTZL,0,,,
ISLZJOT,0,,,
ZITSLOJ,0,,,
TJZSIOL,0,,,
JZISOTL,0,,,
IOJSTZL,0,,,
ISLZOJT,0,,,
ZITSOLJ,0,,,
JLIOSTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OIJSTZL,0,,,
JZIOSTL,0,,,
ISLOZJT,0,,,
ZITOSLJ,0,,,
JZOISTL,0,,,
TOSLZJI,0,,,
JLISOTZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ZIOTSLJ,0,,,
OIJSTLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JSLTIOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JOZISTL,0,,,
ZOITSLJ,0,,,
TSOLZJI,0,,,
OJZISTL,0,,,
IOJSTLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JLISTOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TJZSILO,0,,,
ISOLZJT,0,,,
OZITSLJ,0,,,
TSLOZJI,0,,,
OZJISTL,0,,,
JLISTZO,0,,,
OIZTSLJ,0,,,
TZJSILO,0,,,
IJOSTLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IOSLZJT,0,,,
ZOJISTL,0,,,
JLSITZO,0,,,
TZJSIOL,0,,,
OISLZJT,0,,,
IOZTSLJ,0,,,
ZJOISTL,0,,,
JSLTOIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IJSOTLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TZJSOIL,0,,,
ZJIOSTL,0,,,
OISZLJT,0,,,
TSLZOJI,0,,,
JLSITOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TZJOSIL,0,,,
IOSZLJT,0,,,
JSLOTIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TSLZJOI,0,,,
IJSTOLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TZOJSIL,0,,,
ISOZLJT,0,,,
JLSIOTZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TSLZJIO,0,,,
TOZJSIL,0,,,
JSOLTIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IJSTLOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ISZOLJT,0,,,
TSLJZIO,0,,,
JLSOITZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IJSTLZO,0,,,
TSLJZOI,0,,,
ISZLOJT,0,,,
ZJISOTL,0,,,
JOSLTIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IJTSLZO,0,,,
TSLJOZI,0,,,
ISZLJOT,0,,,
JLOSITZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ZJISTOL,0,,,
TSLOJZI,0,,,
ISZLJTO,0,,,
OJSLTIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ZJISTLO,0,,,
JOLSITZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IJTSLOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TSOLJZI,0,,,
IZSLJTO,0,,,
OJSLTZI,0,,,
ZJSITLO,0,,,
TOSLJZI,0,,,
IZSLJOT,0,,,
OJLSITZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ZJSITOL,0,,,
JOSLTZI,0,,,
IJTSOLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
OTSLJZI,0,,,
IZSLOJT,0,,,
ZJSIOTL,0,,,
OTSLJIZ,0,,,
IJTOSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IZSOLJT,0,,,
TOSLJIZ,0,,,
ZJSOITL,0,,,
IZOTSLJ,0,,,
IZOSLJT,0,,,
TSOLJIZ,0,,,
OTZJSIL,0,,,
ZJOSITL,0,,,
IJOTSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IZTOSLJ,0,,,
IOZSLJT,0,,,
ZOJSITL,0,,,
IZTSOLJ,0,,,
TSLOJIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IOJTSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OIZSLJT,0,,,
OLJTSZI,0,,,
IZTSLOJ,0,,,
OZISLJT,0,,,
TSLJOIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
OIJTSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IZTSLJO,0,,,
ZOISLJT,0,,,
OLJTSIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TSLJIOZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ITZSLJO,0,,,
OIJTSZL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ZIOSLJT,0,,,
ITZSLOJ,0,,,
ITZSOLJ,0,,,
LOJTSIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IOJTSZL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ITZOSLJ,0,,,
ZISOLJT,0,,,
OJLSIZT,0,,,
TSLJIZO,0,,,
ITOZSLJ,0,,,
LJOTSIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ZISLOJT,0,,,
IJOTSZL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
IOTZSLJ,0,,,
ZISLJOT,0,,,
STLJIZO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LJTOSIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OITZSLJ,0,,,
IJTOSZL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
JSOLTZI,0,,,
ZISLJTO,0,,,
OITSZLJ,0,,,
IJTSOZL,0,,,
STLJIOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ZILSJTO,0,,,
JSLOTZI,0,,,
LJTSOIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IOTSZLJ,0,,,
IJTSZOL,0,,,
ZILSJOT,0,,,
JSLTOZI,0,,,
STLJOIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ITOSZLJ,0,,,
IJTSZLO,0,,,
ZILSOJT,0,,,
LJTSIOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JSLTZOI,0,,,
ITSOZLJ,0,,,
IJTZSLO,0,,,
ZILOSJT,0,,,
LJTSIZO,0,,,
JSLTZIO,0,,,
STLOJIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ITSZOLJ,0,,,
IJTZSOL,0,,,
LJSTIZO,0,,,
JSLZTIO,0,,,
ITSZLOJ,0,,,
IJTZOSL,0,,,
OZTJSIL,0,,,
JSLZTOI,0,,,
JOLSIZT,0,,,
ITSZLJO,0,,,
LJSTIOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ZOTJSIL,0,,,
JSLZOTI,0,,,
IJTOZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ITSLZJO,0,,,
JLOSIZT,0,,,
ZTOJSIL,0,,,
JSLOZTI,0,,,
LJSTOIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ITSLZOJ,0,,,
JLSOIZT,0,,,
IJOTZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ZTJOSIL,0,,,
JSOLZTI,0,,,
ITSLOZJ,0,,,
JLSIOZT,0,,,
LJSOTIZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ZIOLSJT,0,,,
IOJTZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ITSOLZJ,0,,,
JLSIZOT,0,,,
STOLJIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
ITOSLZJ,0,,,
ZOILSJT,0,,,
LJOSTIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ZTJSOIL,0,,,
OIJTZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
SOTLJIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JOSLZTI,0,,,
IOTSLZJ,0,,,
OZILSJT,0,,,
ZTJSIOL,0,,,
LOJSTIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OJSLZTI,0,,,
OIJZTSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OIZLSJT,0,,,
JLSIZTO,0,,,
OSTLJIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OJSZLTI,0,,,
IOZLSJT,0,,,
OLJSTIZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JLSZITO,0,,,
OITSLZJ,0,,,
IOJZTSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OSTLJZI,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JOSZLTI,0,,,
IZOLSJT,0,,,
OLJSTZI,0,,,
ZTJSILO,0,,,
JSOZLTI,0,,,
IZLOSJT,0,,,
IJOZTSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LOJSTZI,0,,,
ZTSJILO,0,,,
JLSZIOT,0,,,
JSZOLTI,0,,,
OITSLJZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IZLSOJT,0,,,
LJOSTZI,0,,,
ZTSJIOL,0,,,
IJZOTSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
JSZLOTI,0,,,
JLSZOIT,0,,,
IZLSJOT,0,,,
LJSOTZI,0,,,
ZTSJOIL,0,,,
IOTSLJZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JSZLTOI,0,,,
JLSOZIT,0,,,
IZLSJTO,0,,,
IJZTOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJSTOZI,0,,,
ZTSOJIL,0,,,
JSZLTIO,0,,,
JLOSZIT,0,,,
IJZTSOL,0,,,
LJSTZOI,0,,,
ZTOSJIL,0,,,
JZSLTIO,0,,,
ITOSLJZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JOLSZIT,0,,,
IJZTSLO,0,,,
LJSTZIO,0,,,
ZOTSJIL,0,,,
SOTLJZI,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OJLSZIT,0,,,
LJSZTIO,0,,,
ITSOLJZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OJLZSIT,0,,,
ILZSJTO,0,,,
STOLJZI,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JZSLTOI,0,,,
JOLZSIT,0,,,
IZJTSLO,0,,,
ITSLOJZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ILZSJOT,0,,,
JZSLOTI,0,,,
JLOZSIT,0,,,
STLOJZI,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
ILZSOJT,0,,,
IZJTSOL,0,,,
JZSOLTI,0,,,
JLZOSIT,0,,,
ITSLJOZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ILZOSJT,0,,,
JZOSLTI,0,,,
JLZSOIT,0,,,
ITSLJZO,0,,,
OZTSJIL,0,,,
IZJTOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
ILOZSJT,0,,,
JOZSLTI,0,,,
JLZSIOT,0,,,
OTZSJIL,0,,,
IOLZSJT,0,,,
OJZSLTI,0,,,
ITLSJZO,0,,,
OILZSJT,0,,,
LJSZTOI,0,,,
OZJSLTI,0,,,
OILSZJT,0,,,
LJSZOTI,0,,,
ZOJSLTI,0,,,
IOLSZJT,0,,,
LJSOZTI,0,,,
ZJOSLTI,0,,,
LJOSZTI,0,,,
