ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TLZJIOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
SZJOTIL,0,,,
JITOZLS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OSITZJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TLZJISO,0,,,
JSZITLO,0,,,
SZJTOIL,0,,,
JIOTZLS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TZLJISO,0,,,
OSIZTJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JSZITOL,0,,,
JISZOLT,0,,,
ILZOJST,0,,,
OSJLITZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
JSZIOTL,0,,,
TZLJIOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
JISZLOT,0,,,
ILZJOST,0,,,
SZJTIOL,0,,,
OSJLIZT,0,,,
JSZOITL,0,,,
JISZLTO,0,,,
ILZJSOT,0,,,
SZJTILO,0,,,
TZLJOIS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
SOJLIZT,0,,,
JSOZITL,0,,,
JISLZTO,0,,,
ILZJSTO,0,,,
SJZTILO,0,,,
SJOLIZT,0,,,
